,Index,Coding Question #,Question Identifier,Question Type,Question Label,Question Text,Question Response,Answer Value,Median Confidence,Median Blur,Median Focus,FMW
0,0,coding10_q0,v2_2020_txt,singleselect,Notice of Contract - Consent and Registration,"Users are asked to manifest consent to PP when they sign up for service/site via clickwrap (i.e., Click ""I agree"" button or similar)?  Accepting PP through use is not manifested consent.",[ 0 ] - no,0,4.0,0.0,7748.0,False
1,0,coding10_q0,v2_2020_txt,singleselect,Notice of Contract - Consent and Registration,"Users are asked to manifest consent to PP when they sign up for service/site via clickwrap (i.e., Click ""I agree"" button or similar)?  Accepting PP through use is not manifested consent.",[ 1 ] - yes,1,4.0,0.0,7349.5,True
2,0,coding10_q0,v2_2020_txt,singleselect,Notice of Contract - Consent and Registration,"Users are asked to manifest consent to PP when they sign up for service/site via clickwrap (i.e., Click ""I agree"" button or similar)?  Accepting PP through use is not manifested consent.","[ N/A ] - Not applicable (e.g., there is no registration option)",N/A,4.0,0.0,6546.0,False
3,1,coding10_q1,v0_2020.1,singleselect,Notice of Contract- Registration and Salience,"For potential registrants (i.e., when you are trying to sign up): How salient is the PP on registration page? [go to main page to check--use incognito browser and look at how PP is presented for users who want to register]","[ 1 ] - hyperlinked, at the bottom of the main page (Specht)",1,4.0,1861.0,15068.0,False
4,1,coding10_q1,v0_2020.1,singleselect,Notice of Contract- Registration and Salience,"For potential registrants (i.e., when you are trying to sign up): How salient is the PP on registration page? [go to main page to check--use incognito browser and look at how PP is presented for users who want to register]","[ 2 ] - visibly located on the main page, but no click required to accept, and no notice that privacy policy must be agreed upon (Nguyen v. Barnes and Noble)",2,4.0,0.0,16011.0,False
5,1,coding10_q1,v0_2020.1,singleselect,Notice of Contract- Registration and Salience,"For potential registrants (i.e., when you are trying to sign up): How salient is the PP on registration page? [go to main page to check--use incognito browser and look at how PP is presented for users who want to register]","[ 3 ] - visible on the main page, with notice that user must agree to it, but no clicking requirement to agree (Rodman v. Safeway)",3,4.0,5543.0,13377.0,False
6,1,coding10_q1,v0_2020.1,singleselect,Notice of Contract- Registration and Salience,"For potential registrants (i.e., when you are trying to sign up): How salient is the PP on registration page? [go to main page to check--use incognito browser and look at how PP is presented for users who want to register]","[ 4 ] - visible on main page, with a “sign in” wrap that doesn't unambiguously inform the user that clicking signifies assent to Privacy Policy. (Berkson v. Gogo)",4,4.0,0.0,9481.0,False
7,1,coding10_q1,v0_2020.1,singleselect,Notice of Contract- Registration and Salience,"For potential registrants (i.e., when you are trying to sign up): How salient is the PP on registration page? [go to main page to check--use incognito browser and look at how PP is presented for users who want to register]","[ 5 ] - visible on main page, with a hyperlinked Privacy Policy and a requirements that the user unambiguously click on “I agree” to PP. (Fteja v. Facebook)",5,4.0,0.0,13047.0,False
8,1,coding10_q1,v0_2020.1,singleselect,Notice of Contract- Registration and Salience,"For potential registrants (i.e., when you are trying to sign up): How salient is the PP on registration page? [go to main page to check--use incognito browser and look at how PP is presented for users who want to register]","[ 6 ] - visible on main page, with a Privacy Policy on a scroll down box  and a requirements that the user unambiguously click on “I agree” to PP.",6,3.0,7871.0,53674.0,False
9,1,coding10_q1,v0_2020.1,singleselect,Notice of Contract- Registration and Salience,"For potential registrants (i.e., when you are trying to sign up): How salient is the PP on registration page? [go to main page to check--use incognito browser and look at how PP is presented for users who want to register]",[ 7 ] - Registration is not an option on this site,7,4.0,0.0,6148.0,False
10,2,coding10_q2,v1_2020,singleselect,Notice of Contract - PP Accessibility on Site,Privacy Policy (PP) is accessible through a direct link from the homepage? [this measures what any user would see on the landig page; it measures visibility without registration or when registration is not an option],[ 0 ] - no,0,5.0,63838.5,18096.5,False
11,2,coding10_q2,v1_2020,singleselect,Notice of Contract - PP Accessibility on Site,Privacy Policy (PP) is accessible through a direct link from the homepage? [this measures what any user would see on the landig page; it measures visibility without registration or when registration is not an option],[ 1 ] - yes,1,4.0,0.0,6448.5,False
12,3,coding10_q3,v2.1_2020,singleselect,Notice of Contract - Salience of Consent to Cookies,"Are users asked to manifest unambiguous consent (such as clicking in a non-pre checked ""I agree"" box) to cookies and trackers when on the company's website?",[ 0 ] - no,0,4.0,0.0,8843.0,False
13,3,coding10_q3,v2.1_2020,singleselect,Notice of Contract - Salience of Consent to Cookies,"Are users asked to manifest unambiguous consent (such as clicking in a non-pre checked ""I agree"" box) to cookies and trackers when on the company's website?",[ 1 ] - yes,1,4.0,16374.0,8131.0,False
14,3,coding10_q3,v2.1_2020,singleselect,Notice of Contract - Salience of Consent to Cookies,"Are users asked to manifest unambiguous consent (such as clicking in a non-pre checked ""I agree"" box) to cookies and trackers when on the company's website?",[ 2 ] - other,2,1.5,11892.5,70671.0,False
15,4,coding10_q4,v2.2_2020,singleselect,Notice of Contract- Salience of Consent to Communications and Marketing,"Are users asked to manifest unambiguous consent (such as clicking in a non-pre checked ""I agree"" box during a visit to the site) to receiving communications and marketing when on the company's website? (e.g., emails from the firm with promotions, etc.)",[ 0 ] - no,0,4.0,0.0,3674.0,False
16,4,coding10_q4,v2.2_2020,singleselect,Notice of Contract- Salience of Consent to Communications and Marketing,"Are users asked to manifest unambiguous consent (such as clicking in a non-pre checked ""I agree"" box during a visit to the site) to receiving communications and marketing when on the company's website? (e.g., emails from the firm with promotions, etc.)",[ 1 ] - yes,1,4.0,0.0,3907.0,False
17,4,coding10_q4,v2.2_2020,singleselect,Notice of Contract- Salience of Consent to Communications and Marketing,"Are users asked to manifest unambiguous consent (such as clicking in a non-pre checked ""I agree"" box during a visit to the site) to receiving communications and marketing when on the company's website? (e.g., emails from the firm with promotions, etc.)",[ 2 ] - other,2,1.0,0.0,6608.0,False
18,5,coding10_q5,v2.3_2020.1,singleselect,Notice of Contract- Salience of Consent to processing personal information (PII),"Are users asked to manifest unambiguous consent (such as clicking in a non-pre checked ""I agree"" box during a visit to the site) to the collection and processing of their information? [usually in the form of a pop up window when the user is about to register for the first time]. Try using incognito window. ",[ 0 ] - no,0,4.0,0.0,5286.5,False
19,5,coding10_q5,v2.3_2020.1,singleselect,Notice of Contract- Salience of Consent to processing personal information (PII),"Are users asked to manifest unambiguous consent (such as clicking in a non-pre checked ""I agree"" box during a visit to the site) to the collection and processing of their information? [usually in the form of a pop up window when the user is about to register for the first time]. Try using incognito window. ",[ 1 ] - yes,1,4.0,0.0,8741.0,False
20,5,coding10_q5,v2.3_2020.1,singleselect,Notice of Contract- Salience of Consent to processing personal information (PII),"Are users asked to manifest unambiguous consent (such as clicking in a non-pre checked ""I agree"" box during a visit to the site) to the collection and processing of their information? [usually in the form of a pop up window when the user is about to register for the first time]. Try using incognito window. ",[ 2 ] - other,2,1.0,0.0,1968.0,False
21,6,coding10_q6,v2.4_2020.1,singleselect,Notice - Withdrawal of Consent (GDPR),"Are users given the option of withdrawing their consent to the collection of information in any clause in the contract, or are notified of this before entering the contract? (e.g., this would be satisfied when the firm allows the user to withdraw their consent by changing their account settings, or contacting the firm identifying which types of consent user is withdrawing from --consent to collection, sharing, etc, removing permissions from apps in ""settings"")",[ 0 ] - no,0,4.0,0.0,36702.5,True
22,6,coding10_q6,v2.4_2020.1,singleselect,Notice - Withdrawal of Consent (GDPR),"Are users given the option of withdrawing their consent to the collection of information in any clause in the contract, or are notified of this before entering the contract? (e.g., this would be satisfied when the firm allows the user to withdraw their consent by changing their account settings, or contacting the firm identifying which types of consent user is withdrawing from --consent to collection, sharing, etc, removing permissions from apps in ""settings"")","[ 1 ] - yes, and the clause provides an existence of the right and a summary of what that right involves",1,4.0,21465.0,22845.5,False
23,6,coding10_q6,v2.4_2020.1,singleselect,Notice - Withdrawal of Consent (GDPR),"Are users given the option of withdrawing their consent to the collection of information in any clause in the contract, or are notified of this before entering the contract? (e.g., this would be satisfied when the firm allows the user to withdraw their consent by changing their account settings, or contacting the firm identifying which types of consent user is withdrawing from --consent to collection, sharing, etc, removing permissions from apps in ""settings"")","[ 2 ] - yes, but the clause offers only incomplete information about the right (e.g., by giving no detail about what that right involves, or it tells consumers they can withdraw consent but does not explain how to exercise it)",2,4.0,6179.0,32422.0,False
24,7,coding10_q7,v3_2020,singleselect,Notice - Access,"Is there layered notice or short notice? (i.e., are the key PP terms giving users the gist of the contract summarized on top of the document or somewhere noticeable? Table of Contents does not qualify)",[ 0 ] - no,0,4.0,0.0,9775.0,False
25,7,coding10_q7,v3_2020,singleselect,Notice - Access,"Is there layered notice or short notice? (i.e., are the key PP terms giving users the gist of the contract summarized on top of the document or somewhere noticeable? Table of Contents does not qualify)",[ 1 ] - yes,1,3.0,0.0,4162.5,False
26,9,coding10_q9,v3.1_2020.1(0),breakout-option,['[ 0 ] - no collection'],['[ 0 ] - no collection'],SELECT THIS FIELD,1,-1.0,-1.0,-1.0,False
27,9,coding10_q9,v3.1_2020.1(0),breakout-option,['[ 0 ] - no collection'],['[ 0 ] - no collection'],(unselect),0,4.0,0.0,7523.0,False
28,10,coding10_q10,v3.1_2020.1(1),breakout-option,['[ 1 ] - Collect on website [The company/organization collects user information directly on the website.]'],['[ 1 ] - Collect on website [The company/organization collects user information directly on the website.]'],SELECT THIS FIELD,1,4.0,0.0,14724.0,False
29,10,coding10_q10,v3.1_2020.1(1),breakout-option,['[ 1 ] - Collect on website [The company/organization collects user information directly on the website.]'],['[ 1 ] - Collect on website [The company/organization collects user information directly on the website.]'],(unselect),0,-1.0,-1.0,-1.0,False
30,11,coding10_q11,v3.1_2020.1(2),breakout-option,['[ 2 ] - Collect in mobile app [The company/organization has a mobile app and it collects user information through that platform.]'],['[ 2 ] - Collect in mobile app [The company/organization has a mobile app and it collects user information through that platform.]'],SELECT THIS FIELD,1,4.0,0.0,6314.0,False
31,11,coding10_q11,v3.1_2020.1(2),breakout-option,['[ 2 ] - Collect in mobile app [The company/organization has a mobile app and it collects user information through that platform.]'],['[ 2 ] - Collect in mobile app [The company/organization has a mobile app and it collects user information through that platform.]'],(unselect),0,4.0,0.0,7661.0,False
32,12,coding10_q12,v3.1_2020.1(3),breakout-option,['[ 3 ] - Collect on mobile website [The company/organization has a mobile version of its website through which it collects user information. This value is only needed if the policy explicitly distinguishes between its normal and mobile websites.]'],['[ 3 ] - Collect on mobile website [The company/organization has a mobile version of its website through which it collects user information. This value is only needed if the policy explicitly distinguishes between its normal and mobile websites.]'],SELECT THIS FIELD,1,4.0,0.0,3206.5,False
33,12,coding10_q12,v3.1_2020.1(3),breakout-option,['[ 3 ] - Collect on mobile website [The company/organization has a mobile version of its website through which it collects user information. This value is only needed if the policy explicitly distinguishes between its normal and mobile websites.]'],['[ 3 ] - Collect on mobile website [The company/organization has a mobile version of its website through which it collects user information. This value is only needed if the policy explicitly distinguishes between its normal and mobile websites.]'],(unselect),0,4.0,0.0,3993.0,False
34,13,coding10_q13,v3.1_2020.1(4),breakout-option,"['[ 4 ] - Collect from user on other websites  [This company/organization (the first party) has a widget or element on other websites, in which the user can explicitly provide data to the first party while being on the other website. For example, Facebook users can comment on news or other content on different websites and Facebook collects that data.']","['[ 4 ] - Collect from user on other websites  [This company/organization (the first party) has a widget or element on other websites, in which the user can explicitly provide data to the first party while being on the other website. For example, Facebook users can comment on news or other content on different websites and Facebook collects that data.']",SELECT THIS FIELD,1,4.0,0.0,5614.5,False
35,13,coding10_q13,v3.1_2020.1(4),breakout-option,"['[ 4 ] - Collect from user on other websites  [This company/organization (the first party) has a widget or element on other websites, in which the user can explicitly provide data to the first party while being on the other website. For example, Facebook users can comment on news or other content on different websites and Facebook collects that data.']","['[ 4 ] - Collect from user on other websites  [This company/organization (the first party) has a widget or element on other websites, in which the user can explicitly provide data to the first party while being on the other website. For example, Facebook users can comment on news or other content on different websites and Facebook collects that data.']",(unselect),0,4.0,0.0,9272.0,False
36,14,coding10_q14,v3.1_2020.1(5),breakout-option,"['[ 5 ] - Receive from other parts of company/affiliates [The company/organization is part of a family of companies/organizations or has subsidiaries (e.g., physical store, other websites that belong to same company). It receives user information from those other units.]']","['[ 5 ] - Receive from other parts of company/affiliates [The company/organization is part of a family of companies/organizations or has subsidiaries (e.g., physical store, other websites that belong to same company). It receives user information from those other units.]']",SELECT THIS FIELD,1,4.0,0.0,5918.5,False
37,14,coding10_q14,v3.1_2020.1(5),breakout-option,"['[ 5 ] - Receive from other parts of company/affiliates [The company/organization is part of a family of companies/organizations or has subsidiaries (e.g., physical store, other websites that belong to same company). It receives user information from those other units.]']","['[ 5 ] - Receive from other parts of company/affiliates [The company/organization is part of a family of companies/organizations or has subsidiaries (e.g., physical store, other websites that belong to same company). It receives user information from those other units.]']",(unselect),0,4.0,0.0,8763.0,False
38,15,coding10_q15,v3.1_2020.1(6),breakout-option,"['[ 6 ] - Receive from other service/third-party (unnamed). [ The company/organization receives user information from an unnamed third-party (e.g., the policy just speaks of “data brokers” or ""partners"" in the abstract).]']","['[ 6 ] - Receive from other service/third-party (unnamed). [ The company/organization receives user information from an unnamed third-party (e.g., the policy just speaks of “data brokers” or ""partners"" in the abstract).]']",SELECT THIS FIELD,1,4.0,0.0,17426.5,False
39,15,coding10_q15,v3.1_2020.1(6),breakout-option,"['[ 6 ] - Receive from other service/third-party (unnamed). [ The company/organization receives user information from an unnamed third-party (e.g., the policy just speaks of “data brokers” or ""partners"" in the abstract).]']","['[ 6 ] - Receive from other service/third-party (unnamed). [ The company/organization receives user information from an unnamed third-party (e.g., the policy just speaks of “data brokers” or ""partners"" in the abstract).]']",(unselect),0,4.0,0.0,5177.5,False
40,16,coding10_q16,v3.1_2020.1(7),breakout-option,"['[ 7 ] - Receive from other service/third-party (named) [The company/organization acquires user information from a third party that is explicitly named (e.g., Facebook when the user signs in using Facebook account; or a specific ""partner"")]']","['[ 7 ] - Receive from other service/third-party (named) [The company/organization acquires user information from a third party that is explicitly named (e.g., Facebook when the user signs in using Facebook account; or a specific ""partner"")]']",SELECT THIS FIELD,1,4.0,0.0,7096.0,False
41,16,coding10_q16,v3.1_2020.1(7),breakout-option,"['[ 7 ] - Receive from other service/third-party (named) [The company/organization acquires user information from a third party that is explicitly named (e.g., Facebook when the user signs in using Facebook account; or a specific ""partner"")]']","['[ 7 ] - Receive from other service/third-party (named) [The company/organization acquires user information from a third party that is explicitly named (e.g., Facebook when the user signs in using Facebook account; or a specific ""partner"")]']",(unselect),0,4.0,0.0,5421.0,False
