,Index,Coding Question #,Question Identifier,Question Type,Question Label,Question Text,Question Response,Answer Value,Median Confidence,Median Blur,Median Focus,FMW
0,0,coding9_q0,v2_2020_txt,singleselect,Notice of Contract - Consent and Registration,"Users are asked to manifest consent to PP when they sign up for service/site via clickwrap (i.e., Click ""I agree"" button or similar)?  Accepting PP through use is not manifested consent.",[ 0 ] - no,0,4.0,0.0,7655.0,True
1,0,coding9_q0,v2_2020_txt,singleselect,Notice of Contract - Consent and Registration,"Users are asked to manifest consent to PP when they sign up for service/site via clickwrap (i.e., Click ""I agree"" button or similar)?  Accepting PP through use is not manifested consent.",[ 1 ] - yes,1,4.0,3823.0,10704.0,True
2,0,coding9_q0,v2_2020_txt,singleselect,Notice of Contract - Consent and Registration,"Users are asked to manifest consent to PP when they sign up for service/site via clickwrap (i.e., Click ""I agree"" button or similar)?  Accepting PP through use is not manifested consent.","[ N/A ] - Not applicable (e.g., there is no registration option)",N/A,4.0,35959.0,11875.0,True
3,1,coding9_q1,v0_2020,singleselect,Notice of Contract- Registration and Salience,"For potential registrants (i.e., when you are trying to sign up): How salient is the PP on registration page? [go to main page to check--use incognito browser and look at how PP is presented for users who want to register]","[ 1 ] - hyperlinked, at the bottom of the main page (Specht)",1,3.5,0.0,18649.0,True
4,1,coding9_q1,v0_2020,singleselect,Notice of Contract- Registration and Salience,"For potential registrants (i.e., when you are trying to sign up): How salient is the PP on registration page? [go to main page to check--use incognito browser and look at how PP is presented for users who want to register]","[ 2 ] - visibly located on the main page, but no click required to accept, and no notice that privacy policy must be agreed upon (Nguyen v. Barnes and Noble)",2,4.0,17089.0,29188.0,True
5,1,coding9_q1,v0_2020,singleselect,Notice of Contract- Registration and Salience,"For potential registrants (i.e., when you are trying to sign up): How salient is the PP on registration page? [go to main page to check--use incognito browser and look at how PP is presented for users who want to register]","[ 3 ] - visible on the main page, with notice that user must agree to it, but no clicking requirement to agree (Rodman v. Safeway)",3,4.0,0.0,16534.0,True
6,1,coding9_q1,v0_2020,singleselect,Notice of Contract- Registration and Salience,"For potential registrants (i.e., when you are trying to sign up): How salient is the PP on registration page? [go to main page to check--use incognito browser and look at how PP is presented for users who want to register]","[ 4 ] - visible on main page, with a “sign in” wrap that doesn't unambiguously inform the user that clicking signifies assent to Privacy Policy. (Berkson v. Gogo)",4,4.0,0.0,20622.0,True
7,1,coding9_q1,v0_2020,singleselect,Notice of Contract- Registration and Salience,"For potential registrants (i.e., when you are trying to sign up): How salient is the PP on registration page? [go to main page to check--use incognito browser and look at how PP is presented for users who want to register]","[ 5 ] - visible on main page, with a hyperlinked Privacy Policy and a requirements that the user unambiguously click on “I agree” to PP. (Fteja v. Facebook)",5,4.0,0.0,12460.5,True
8,1,coding9_q1,v0_2020,singleselect,Notice of Contract- Registration and Salience,"For potential registrants (i.e., when you are trying to sign up): How salient is the PP on registration page? [go to main page to check--use incognito browser and look at how PP is presented for users who want to register]","[ 6 ] - visible on main page, with a Privacy Policy on a scroll down box  and a requirements that the user unambiguously click on “I agree” to PP.",6,4.0,0.0,12300.0,False
9,1,coding9_q1,v0_2020,singleselect,Notice of Contract- Registration and Salience,"For potential registrants (i.e., when you are trying to sign up): How salient is the PP on registration page? [go to main page to check--use incognito browser and look at how PP is presented for users who want to register]",[ 7 ] - Registration is not an option on this site,7,4.0,1690.0,14130.0,True
