,Index,Coding Question #,Question Identifier,Question Type,Question Label,Question Text,Question Response,Answer Value,Median Confidence,Median Blur,Median Focus,FMW
0,0,coding5_q0,v2_2020_txt,multiselect,Notice - Consent and Registration,"Users are asked to manifest consent to PP when they sign up for service/site via clickwrap (i.e., Click ""I agree"" button or similar)?  Accepting PP through use is not manifested consent.",[ 0 ] - no,0,3.5,18701.0,24457.0,False
1,0,coding5_q0,v2_2020_txt,multiselect,Notice - Consent and Registration,"Users are asked to manifest consent to PP when they sign up for service/site via clickwrap (i.e., Click ""I agree"" button or similar)?  Accepting PP through use is not manifested consent.",[ 1 ] - yes,1,4.0,22281.0,23222.0,True
2,1,coding5_q1,v0_2020,multiselect,Notice - Registration and Salience,For potential registrants: How salient is the PP on the main webpage? [go to main page to check--use incognito browser and look at how PP is presented for users who want to register],"[ 1 ] - hyperlinked, at the bottom of the main page (Specht)",1,5.0,13542.0,18345.0,True
3,1,coding5_q1,v0_2020,multiselect,Notice - Registration and Salience,For potential registrants: How salient is the PP on the main webpage? [go to main page to check--use incognito browser and look at how PP is presented for users who want to register],"[ 2 ] - visibly located on the main page, but no click required to accept, and no notice that privacy policy must be agreed upon (Nguyen v. Barnes and Noble)",2,3.0,4424.5,19666.0,False
4,1,coding5_q1,v0_2020,multiselect,Notice - Registration and Salience,For potential registrants: How salient is the PP on the main webpage? [go to main page to check--use incognito browser and look at how PP is presented for users who want to register],"[ 3 ] - visible on the main page, with notice that user must agree to it, but no clicking requirement to agree (Rodman v. Safeway)",3,-1.0,-1.0,-1.0,False
5,1,coding5_q1,v0_2020,multiselect,Notice - Registration and Salience,For potential registrants: How salient is the PP on the main webpage? [go to main page to check--use incognito browser and look at how PP is presented for users who want to register],"[ 4 ] - visible on main page, with a “sign in” wrap that doesn’t unambiguously inform the user that clicking signifies assent to Privacy Policy. (Berkson v. Gogo)",4,-1.0,-1.0,-1.0,False
6,1,coding5_q1,v0_2020,multiselect,Notice - Registration and Salience,For potential registrants: How salient is the PP on the main webpage? [go to main page to check--use incognito browser and look at how PP is presented for users who want to register],"[ 5 ] - visible on main page, with a hyperlinked Privacy Policy and a requirements that the user unambiguously click on “I agree” to PP. (Fteja v. Facebook)",5,-1.0,-1.0,-1.0,False
7,1,coding5_q1,v0_2020,multiselect,Notice - Registration and Salience,For potential registrants: How salient is the PP on the main webpage? [go to main page to check--use incognito browser and look at how PP is presented for users who want to register],"[ 6 ] - visible on main page, with a Privacy Policy on a scroll down box  and a requirements that the user unambiguously click on “I agree” to PP.",6,-1.0,-1.0,-1.0,False
8,2,coding5_q2,v1_2020,multiselect,Notice - PP Accessibility on Site,Privacy Policy (PP) is accessible through a direct link from the homepage? [this measures visibility without registration or when registration is not an option],[ 0 ] - no,0,5.0,0.0,5613.0,False
9,2,coding5_q2,v1_2020,multiselect,Notice - PP Accessibility on Site,Privacy Policy (PP) is accessible through a direct link from the homepage? [this measures visibility without registration or when registration is not an option],[ 1 ] - yes,1,4.0,0.0,7825.0,False
10,3,coding5_q3,v2.1_2020,multiselect,Notice - Consent to Cookies,"Are users asked to manifst unambigous consent (such as clicking in a non-pre checked ""I agree"" box) to cookies and trackers when on the company's website?",[ 0 ] - no,0,4.0,4007.0,12347.0,False
11,3,coding5_q3,v2.1_2020,multiselect,Notice - Consent to Cookies,"Are users asked to manifst unambigous consent (such as clicking in a non-pre checked ""I agree"" box) to cookies and trackers when on the company's website?",[ 1 ] - yes,1,5.0,4428.0,9539.0,False
12,3,coding5_q3,v2.1_2020,multiselect,Notice - Consent to Cookies,"Are users asked to manifst unambigous consent (such as clicking in a non-pre checked ""I agree"" box) to cookies and trackers when on the company's website?",[ 2 ] - other,2,-1.0,-1.0,-1.0,False
